,Country,Year,Month,Semana,Nombre de la campaña,Campaign Consolidated,Impresiones,impresiones max,impresiones min,impresiones avg,Importe gastado,importe max,importe min,importe avg,Fecha inicio,sem_inicio,abreviatura,Marca,Pais,num_campaign,campaign avg,venta_agrupada,venta max,venta min,venta avg,tipo,score_lineal_norm
217,MX,2022,9,2022-09-24 - 2022-09-30,BD_MX_AWR_SEP22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,24105972.0,24105972.0,287693.0,8510208.333333334,7761.57,7761.57,926.47011453,3416.9300384333333,2022-09-24,202238,BD,BLACK+DECKER,Mexico,3,4.619047619047619,371407.9663023658,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.3239669115659427
218,BR,2022,9,2022-09-24 - 2022-09-30,DW_BR_ENGT_SEP22_HT_lasers_LOCAL,Lasers DW,6713305.0,6713305.0,413240.0,2760995.0,6318.9300018,6318.9300018,200.27015194,2930.554030884,2022-09-24,202238,DW,DEWALT,Brasil,5,1.0,686202.7255013676,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.4330953929518153
219,MX,2022,9,2022-09-03 - 2022-09-09,DW_MX_AWR_Aug22_PT_CORDLESS_REG,Cordless DW,14170573.0,14170573.0,435067.0,3476926.6666666665,5138.32,5138.32,208.05,1419.9050118799998,2022-09-03,202235,DW,DEWALT,Mexico,6,4.875,1167418.6584604261,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.8930545177073554
220,BR,2022,9,2022-09-24 - 2022-09-30,IW_BR_AWR_AUG22_Trade-strong_LOCAL,Trade Strong,3680561.0,3680561.0,534267.0,2292361.3333333335,1983.25999965,5927.89,118.84,2676.663333216667,2022-09-24,202238,IW,IRWIN,Brasil,3,4.294117647058823,38047.88243730167,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,0.6308936854527029
221,BR,2022,9,2022-09-17 - 2022-09-23,ST_BR_AWR_Aug22_PT_V20_REG,v20,13454484.0,13454484.0,278809.0,3986401.5,6303.85000002,6303.85000002,137.85,1807.3200000450001,2022-09-17,202237,ST,STANLEY,Brasil,4,4.647058823529412,269709.1084164656,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.2659228613064166
222,MX,2022,9,2022-09-03 - 2022-09-09,ST_MX_AWR_Aug22_PT_V20_REG,v20,10832596.0,10832596.0,635509.0,3296459.75,3904.24,3904.24,183.34,1170.4399956,2022-09-03,202235,ST,STANLEY,Mexico,4,1.8571428571428572,278216.00510928134,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.3844673577479345
223,BR,2022,10,2022-10-08 - 2022-10-14,BD_BR_AWR_Sep22_PT_RENUEVA-TU-HOGAR_REG_R&F,Renueva tu hogar,13434206.0,13434206.0,68812.0,2458223.8,5910.83,5910.83,45.42,1684.5592323550002,2022-10-08,202240,BD,BLACK+DECKER,Brasil,10,5.0,377770.4365274715,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,2.302617747070991
224,MX,2022,10,2022-10-29 - 2022-11-04,BD_MX_ENGT_OCT22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,3459838.0,3459838.0,349540.0,1256837.75,3415.78020483,3415.78020483,214.87,1228.45505543,2022-10-29,202243,BD,BLACK+DECKER,Mexico,4,4.2631578947368425,268862.28201080416,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.4046236674503907
225,BR,2022,10,2022-10-15 - 2022-10-21,DW_BR_ECOM_OCT22_HT_lasers_LOCAL,Lasers DW,7603539.0,7603539.0,91194.0,2509826.1428571427,5520.57999772,5520.57999772,179.23010817,1436.0314436985716,2022-10-15,202241,DW,DEWALT,Brasil,7,6.757575757575758,649408.0332564568,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.6310953792842449
226,MX,2022,10,2022-10-29 - 2022-11-04,DW_MX_ECOM_OCT22_HT_LASERS_LOC,Lasers DW,5230271.0,5230271.0,1103290.0,2710840.1666666665,2290.73,2290.73,480.89006149,1432.89834829,2022-10-29,202243,DW,DEWALT,Mexico,6,4.2631578947368425,1107030.4347443345,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.325916140520874
